prive,esprit,licence,graduated,year_after_graduation,skills_score
1,0,0,1,2,2.20
0,0,0,1,4,0.60
0,0,1,1,1,1.30
1,1,1,1,5,2.20
0,0,0,1,9,2.20
1,1,0,1,3,2.00
1,0,0,1,1,1.20
0,0,0,1,3,1.30
1,0,0,1,1,2.60
0,0,0,0,0,1.30
1,1,0,0,0,1.00
0,0,1,1,13,2.00
0,0,0,0,0,0.50
1,0,0,1,2,0.90
0,0,0,1,9,0.20
1,1,0,1,10,0.60
0,0,0,1,3,1.30
0,0,0,1,8,2.00
0,0,0,1,8,1.10
0,0,0,1,7,2.00
0,0,0,1,1,1.10
0,0,1,1,4,2.30
1,0,0,1,1,2.40
0,0,0,0,0,3.10
0,0,0,1,23,0.90
0,0,0,0,0,0.00
1,1,0,1,1,2.70
0,0,0,0,0,0.50
1,0,0,1,2,0.90
0,0,0,0,0,0.90
1,0,0,1,2,0.30
0,0,0,1,5,1.90
0,0,0,1,6,0.10
0,0,1,1,1,3.30
0,0,0,0,0,0.50
0,0,0,0,0,1.80
0,0,0,0,0,1.40
1,0,0,0,0,0.10
0,0,0.2,0,0,1.60
0,0,0,1,9,1.90
0,0,1,0,0,1.00
0,0,0,1,2,0.00
0,0,0,1,2,0.00
0,0,1,0,0,2.60
0,0,0,1,7,0.90
1,1,0,1,5,1.80
1,1,0,0,0,0.80
0,0,0,1,2,1.30
0,0,1,0,0,0.00
0,0,1,0,0,2.00
0,0,0,0,0,1.30
0,0,0,0,0,1.20
0,0,0,1,4,2.90
0,0,0,1,2,1.20
1,1,0.2,1,1,0.50
0,0,1,1,1,1.20
0,0,0.2,0,0,0.90
1,1,0,1,11,0.70
0,0,0,0,0,0.60
1,0,0,1,3,1.70
1,0,0,1,2,0.70
1,1,0,1,3,2.10
0,0,0,1,12,0.60
0,0,0.2,1,3,1.20
0,0,0,1,1,0.70
1,1,0,0,0,1.30
0,0,0,1,2,3.90
